timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB]
2026/02/15 14:53:32.606, 82 %, 2 %, 50.35 W, 653 MiB
2026/02/15 14:53:34.606, 79 %, 2 %, 50.50 W, 653 MiB
2026/02/15 14:53:36.606, 83 %, 2 %, 50.14 W, 653 MiB
2026/02/15 14:53:38.606, 76 %, 2 %, 50.07 W, 653 MiB
2026/02/15 14:53:40.606, 78 %, 2 %, 50.27 W, 653 MiB
2026/02/15 14:53:42.606, 76 %, 2 %, 50.46 W, 653 MiB
2026/02/15 14:53:44.607, 81 %, 2 %, 50.59 W, 653 MiB
2026/02/15 14:53:46.607, 72 %, 2 %, 50.47 W, 653 MiB
2026/02/15 14:53:48.607, 77 %, 2 %, 50.67 W, 653 MiB
2026/02/15 14:53:50.607, 81 %, 2 %, 50.83 W, 653 MiB
2026/02/15 14:53:52.607, 79 %, 2 %, 50.48 W, 653 MiB
2026/02/15 14:53:54.608, 76 %, 2 %, 50.63 W, 653 MiB
2026/02/15 14:53:56.608, 80 %, 2 %, 50.40 W, 653 MiB
2026/02/15 14:53:58.608, 87 %, 2 %, 50.68 W, 653 MiB
2026/02/15 14:54:00.608, 74 %, 2 %, 50.34 W, 653 MiB
2026/02/15 14:54:02.608, 75 %, 2 %, 50.24 W, 653 MiB
2026/02/15 14:54:04.608, 78 %, 2 %, 50.12 W, 653 MiB
2026/02/15 14:54:06.609, 80 %, 2 %, 50.13 W, 653 MiB
2026/02/15 14:54:08.609, 84 %, 2 %, 50.38 W, 653 MiB
2026/02/15 14:54:10.609, 78 %, 2 %, 50.29 W, 653 MiB
2026/02/15 14:54:12.609, 82 %, 2 %, 50.07 W, 653 MiB
2026/02/15 14:54:14.609, 82 %, 2 %, 50.20 W, 653 MiB
2026/02/15 14:54:16.610, 75 %, 2 %, 50.41 W, 653 MiB
2026/02/15 14:54:18.610, 84 %, 2 %, 50.63 W, 653 MiB
2026/02/15 14:54:20.610, 83 %, 2 %, 50.25 W, 653 MiB
2026/02/15 14:54:22.610, 83 %, 2 %, 50.46 W, 653 MiB
2026/02/15 14:54:24.610, 80 %, 2 %, 50.46 W, 653 MiB
2026/02/15 14:54:26.610, 79 %, 2 %, 50.47 W, 653 MiB
2026/02/15 14:54:28.611, 84 %, 2 %, 50.67 W, 653 MiB
2026/02/15 14:54:30.611, 81 %, 2 %, 50.58 W, 653 MiB
2026/02/15 14:54:32.611, 75 %, 2 %, 50.55 W, 653 MiB
2026/02/15 14:54:34.611, 79 %, 2 %, 50.67 W, 653 MiB
2026/02/15 14:54:36.611, 85 %, 2 %, 50.92 W, 653 MiB
2026/02/15 14:54:38.612, 75 %, 2 %, 50.28 W, 653 MiB
2026/02/15 14:54:40.612, 75 %, 2 %, 50.35 W, 653 MiB
2026/02/15 14:54:42.612, 79 %, 2 %, 50.17 W, 653 MiB
2026/02/15 14:54:44.612, 84 %, 2 %, 50.44 W, 653 MiB
2026/02/15 14:54:46.612, 82 %, 2 %, 50.31 W, 653 MiB
2026/02/15 14:54:48.612, 75 %, 2 %, 50.33 W, 653 MiB
2026/02/15 14:54:50.613, 81 %, 2 %, 50.27 W, 653 MiB
2026/02/15 14:54:52.613, 73 %, 2 %, 50.36 W, 653 MiB
2026/02/15 14:54:54.613, 74 %, 2 %, 50.36 W, 653 MiB
2026/02/15 14:54:56.613, 82 %, 2 %, 50.53 W, 653 MiB
2026/02/15 14:54:58.613, 85 %, 2 %, 50.92 W, 653 MiB
2026/02/15 14:55:00.613, 80 %, 2 %, 50.81 W, 653 MiB
2026/02/15 14:55:02.614, 79 %, 2 %, 50.90 W, 653 MiB
2026/02/15 14:55:04.614, 79 %, 2 %, 50.98 W, 653 MiB
2026/02/15 14:55:06.614, 81 %, 2 %, 50.73 W, 653 MiB
2026/02/15 14:55:08.614, 72 %, 2 %, 50.40 W, 653 MiB
2026/02/15 14:55:10.614, 74 %, 2 %, 50.37 W, 653 MiB
2026/02/15 14:55:12.614, 80 %, 2 %, 50.71 W, 653 MiB
2026/02/15 14:55:14.615, 75 %, 2 %, 50.62 W, 653 MiB
2026/02/15 14:55:16.615, 83 %, 2 %, 50.58 W, 653 MiB
2026/02/15 14:55:18.615, 69 %, 2 %, 50.37 W, 653 MiB
2026/02/15 14:55:20.615, 82 %, 2 %, 50.59 W, 653 MiB
2026/02/15 14:55:22.615, 83 %, 2 %, 50.71 W, 653 MiB
2026/02/15 14:55:24.616, 78 %, 2 %, 50.62 W, 653 MiB
2026/02/15 14:55:26.616, 77 %, 2 %, 50.54 W, 653 MiB
2026/02/15 14:55:28.616, 79 %, 2 %, 50.54 W, 653 MiB
2026/02/15 14:55:30.616, 84 %, 2 %, 50.79 W, 653 MiB
2026/02/15 14:55:32.616, 83 %, 2 %, 50.71 W, 653 MiB
2026/02/15 14:55:34.616, 81 %, 2 %, 50.77 W, 653 MiB
2026/02/15 14:55:36.617, 81 %, 2 %, 51.03 W, 653 MiB
2026/02/15 14:55:38.617, 83 %, 2 %, 50.97 W, 653 MiB
2026/02/15 14:55:40.617, 78 %, 2 %, 50.96 W, 653 MiB
2026/02/15 14:55:42.617, 85 %, 2 %, 51.07 W, 653 MiB
2026/02/15 14:55:44.617, 81 %, 2 %, 50.95 W, 653 MiB
2026/02/15 14:55:46.618, 79 %, 2 %, 51.10 W, 653 MiB
2026/02/15 14:55:48.618, 82 %, 2 %, 51.16 W, 653 MiB
2026/02/15 14:55:50.618, 77 %, 2 %, 50.87 W, 653 MiB
2026/02/15 14:55:52.618, 78 %, 2 %, 50.99 W, 653 MiB
2026/02/15 14:55:54.618, 81 %, 2 %, 51.07 W, 653 MiB
2026/02/15 14:55:56.618, 78 %, 2 %, 50.95 W, 653 MiB
2026/02/15 14:55:58.619, 73 %, 2 %, 50.66 W, 653 MiB
2026/02/15 14:56:00.619, 83 %, 2 %, 50.66 W, 653 MiB
2026/02/15 14:56:02.619, 86 %, 2 %, 50.93 W, 653 MiB
2026/02/15 14:56:04.619, 79 %, 2 %, 50.97 W, 653 MiB
2026/02/15 14:56:06.619, 84 %, 2 %, 51.07 W, 653 MiB
2026/02/15 14:56:08.620, 79 %, 2 %, 50.99 W, 653 MiB
2026/02/15 14:56:10.620, 81 %, 2 %, 51.10 W, 653 MiB
2026/02/15 14:56:12.620, 76 %, 2 %, 50.91 W, 653 MiB
2026/02/15 14:56:14.620, 81 %, 2 %, 50.95 W, 653 MiB
2026/02/15 14:56:16.620, 84 %, 2 %, 51.17 W, 653 MiB
2026/02/15 14:56:18.620, 84 %, 2 %, 51.09 W, 653 MiB
2026/02/15 14:56:20.621, 83 %, 2 %, 50.87 W, 653 MiB
2026/02/15 14:56:22.621, 83 %, 2 %, 50.74 W, 653 MiB
