-0.297575 157.062959
-0.263286 156.491581
-0.228997 155.080659
-0.194709 151.993521
-0.160420 146.016994
-0.126131 135.800286
-0.091842 120.421508
-0.057554 100.120096
-0.023265 76.757917
0.011024 53.540024
0.045313 33.918780
0.079601 20.212263
0.113890 12.769014
0.148179 10.174487
0.182468 10.269963
0.216756 11.257475
0.251045 12.262214
0.285334 13.224754
0.319623 14.430414
0.353911 16.077800
0.388200 18.112413
0.422489 20.318884
0.456778 22.520194
0.491066 24.708279
0.525355 27.011497
0.559644 29.540971
0.593933 32.258469
0.628221 34.987852
0.662510 37.559226
0.696799 39.948004
0.731087 42.272793
0.765376 44.648255
0.799665 47.026614
0.833954 49.173536
0.868242 50.800910
0.902531 51.738620
0.936820 52.002129
0.971109 51.721016
1.005397 51.020899
1.039686 49.967662
1.073975 48.586384
1.108264 46.884489
1.142552 44.838660
1.176841 42.392194
1.211130 39.518791
1.245419 36.314180
1.279707 33.006481
1.313996 29.842541
1.348285 26.947492
1.382574 24.298608
1.416862 21.839813
1.451151 19.617587
1.485440 17.804979
1.519729 16.603267
1.554017 16.125921
1.588306 16.362689
1.622595 17.227140
1.656884 18.622185
1.691172 20.469076
1.725461 22.696951
1.759750 25.222716
1.794039 27.947253
1.828327 30.769823
1.862616 33.599573
1.896905 36.341269
1.931194 38.861765
1.965482 40.980468
1.999771 42.521100
2.034060 43.400487
2.068349 43.675641
2.102637 43.496109
2.136926 42.997595
2.171215 42.227754
2.205504 41.157234
2.239792 39.747335
2.274081 38.007192
2.308370 36.002162
2.342659 33.824736
2.376947 31.561226
2.411236 29.274995
2.445525 27.003565
2.479813 24.757132
2.514102 22.517106
2.548391 20.248486
2.582680 17.933532
2.616968 15.604831
2.651257 13.340129
2.685546 11.212755
2.719835 9.246716
2.754123 7.434154
2.788412 5.802293
2.822701 4.434925
2.856990 3.375080
2.891278 2.487231
2.925567 1.502185
2.959856 0.404060
2.994145 0.000000
3.028433 2.179074
3.062722 9.393520
3.097011 23.418852
3.131300 44.110740
3.165588 69.057198
3.199877 94.459015
3.234166 116.696993
3.268455 133.614436
3.302743 144.874867
3.337032 151.462864
3.371321 154.861617
3.405610 156.411317
3.439898 157.036870
