-0.298028 154.323977
-0.263754 153.789486
-0.229480 152.463374
-0.195206 149.546711
-0.160932 143.868672
-0.126658 134.105032
-0.092385 119.318549
-0.058111 99.678110
-0.023837 76.937731
0.010437 54.204174
0.044711 34.887615
0.078984 21.332353
0.113258 13.953827
0.147532 11.404804
0.181806 11.572057
0.216080 12.680398
0.250353 13.857424
0.284627 15.021919
0.318901 16.415335
0.353175 18.190438
0.387449 20.269996
0.421723 22.441538
0.455996 24.532917
0.490270 26.527405
0.524544 28.554937
0.558818 30.778094
0.593092 33.249877
0.627365 35.838230
0.661639 38.275883
0.695913 40.313519
0.730187 41.875985
0.764461 43.105006
0.798734 44.244419
0.833008 45.444487
0.867282 46.635316
0.901556 47.570422
0.935830 47.999140
0.970104 47.818634
1.004377 47.087093
1.038651 45.914387
1.072925 44.347806
1.107199 42.350214
1.141473 39.868847
1.175746 36.919497
1.210020 33.616014
1.244294 30.131928
1.278568 26.632451
1.312842 23.226093
1.347115 19.959237
1.381389 16.844254
1.415663 13.899580
1.449937 11.188364
1.484211 8.847471
1.518484 7.088306
1.552758 6.146025
1.587032 6.183175
1.621306 7.205627
1.655580 9.063002
1.689854 11.542074
1.724127 14.469499
1.758401 17.725626
1.792675 21.167999
1.826949 24.569568
1.861223 27.664482
1.895496 30.270959
1.929770 32.368567
1.964044 34.051857
1.998318 35.407946
2.032592 36.432178
2.066865 37.045816
2.101139 37.184286
2.135413 36.877555
2.169687 36.263817
2.203961 35.525581
2.238235 34.784590
2.272508 34.024495
2.306782 33.102531
2.341056 31.850886
2.375330 30.196018
2.409604 28.207275
2.443877 26.043340
2.478151 23.844681
2.512425 21.655679
2.546699 19.429075
2.580973 17.098723
2.615246 14.658003
2.649520 12.185623
2.683794 9.809669
2.718068 7.651395
2.752342 5.798519
2.786616 4.314663
2.820889 3.237093
2.855163 2.517619
2.889437 1.951642
2.923711 1.246984
2.957985 0.360459
2.992258 0.000000
3.026532 1.894909
3.060806 8.393321
3.095080 21.351026
3.129354 40.900435
3.163627 64.965680
3.197901 89.959171
3.232175 112.256942
3.266449 129.530659
3.300723 141.231582
3.334997 148.194738
3.369270 151.847106
3.403544 153.539714
3.437818 154.233956
