#! FIELDS puck.theta file.free der_puck.theta
#! SET min_puck.theta -0.351061
#! SET max_puck.theta 3.49335
#! SET nbins_puck.theta  110
#! SET periodic_puck.theta false
   -0.351061000  161.651244579   -0.000000000
   -0.315791174  161.601024765   -3.936976879
   -0.280521349  161.294215557  -14.973324114
   -0.245251523  160.382205432  -39.894570928
   -0.209981697  158.182335608  -89.956898012
   -0.174711872  153.593247660 -177.195221124
   -0.139442046  145.220257397 -303.563192187
   -0.104172220  131.888026352 -453.686923781
   -0.068902394  113.387842816 -588.946050845
   -0.033632569   91.118428007 -659.463473276
    0.001637257   68.067077825 -630.097480087
    0.036907083   47.818952165 -504.697845628
    0.072176908   33.088157974 -326.988585507
    0.107446734   24.650003317 -157.828571171
    0.142716560   21.314927771  -42.268944433
    0.177986385   20.917725015   10.303562959
    0.213256211   21.534030322   20.026612423
    0.248526037   22.163451506   15.619310336
    0.283795862   22.702447747   16.777394326
    0.319065688   23.472043245   28.088896719
    0.354335514   24.733159921   43.447522045
    0.389605339   26.484272735   54.743916110
    0.424875165   28.547474971   61.609190589
    0.460144991   30.784754585   64.856048694
    0.495414817   33.103516519   66.554021764
    0.530684642   35.493470839   68.963926496
    0.565954468   38.003795836   73.644482077
    0.601224294   40.705129874   79.669991614
    0.636494119   43.609890627   84.483761210
    0.671763945   46.617726393   85.011030603
    0.707033771   49.537515554   79.401571802
    0.742303596   52.164825135   69.277527052
    0.777573422   54.423429912   59.171169984
    0.812843248   56.391230010   52.988232906
    0.848113073   58.209149692   50.294816991
    0.883382899   59.936109793   47.035069820
    0.918652725   61.453488633   37.870409534
    0.953922550   62.528956704   22.391035809
    0.989192376   62.974597961    2.785104259
    1.024462202   62.744962362  -15.372604950
    1.059732028   61.924799247  -30.626534044
    1.095001853   60.615017977  -43.516759941
    1.130271679   58.844341253  -57.160285784
    1.165541505   56.554284257  -72.766288991
    1.200811330   53.700618046  -89.005137444
    1.236081156   50.299061514 -103.389401796
    1.271350982   46.445381215 -114.060495367
    1.306620807   42.312422825 -119.484985869
    1.341890633   38.076281607 -120.089564725
    1.377160459   33.900107712 -116.089196733
    1.412430284   29.940933271 -107.793830670
    1.447700110   26.348294011  -95.143522651
    1.482969936   23.305463653  -76.376204041
    1.518239761   21.032105679  -51.200658942
    1.553509587   19.736550120  -21.525528187
    1.588779413   19.517830651    8.936069540
    1.624049239   20.300272904   34.379553187
    1.659319064   21.835343838   50.958317006
    1.694588890   23.776390612   57.898923367
    1.729858716   25.860731576   59.926753760
    1.765128541   27.996375330   61.575318161
    1.800398367   30.229482452   65.384653307
    1.835668193   32.606202796   69.064877537
    1.870938018   35.049343471   68.515555259
    1.906207844   37.356341772   61.153598539
    1.941477670   39.297840769   48.588301812
    1.976747495   40.780076013   35.805932668
    2.012017321   41.851671997   25.654237262
    2.047287147   42.626383126   18.533062808
    2.082556972   43.162317476   11.541655130
    2.117826798   43.379347438    0.314932744
    2.153096624   43.154968161  -13.509771626
    2.188366450   42.436983870  -26.953554916
    2.223636275   41.263053372  -38.765279552
    2.258906101   39.748117159  -46.376030022
    2.294175927   38.029348508  -50.407138510
    2.329445752   36.214651086  -52.429587863
    2.364715578   34.334486844  -54.271046195
    2.399985404   32.377578848  -56.748268599
    2.435255229   30.308583101  -60.947291249
    2.470525055   28.075001383  -65.614405794
    2.505794881   25.684645225  -69.352628405
    2.541064706   23.203981599  -70.494123280
    2.576334532   20.739798822  -68.886666162
    2.611604358   18.357508877  -66.476497918
    2.646874183   16.034388334  -65.640916911
    2.682144009   13.696851669  -66.888148910
    2.717413835   11.341403130  -65.769006577
    2.752683661    9.115010676  -59.455620424
    2.787953486    7.207844759  -47.559298363
    2.823223312    5.779802809  -33.880366155
    2.858493138    4.717534907  -28.569676349
    2.893762963    3.595845987  -36.956910823
    2.929032789    2.044899738  -49.770911361
    2.964302615    0.364005156  -38.788345037
    2.999572440    0.000000000   30.463485887
    3.034842266    3.450714393  178.167401384
    3.070112092   13.307252540  387.183098685
    3.105381917   30.807680441  599.629622205
    3.140651743   54.772200415  742.219136149
    3.175921569   81.768096603  767.559118572
    3.211191394  107.524346948  676.478653862
    3.246461220  128.635197843  513.912252262
    3.281731046  143.635730648  339.094906058
    3.317000872  152.926059015  195.036001263
    3.352270697  157.951763885   97.856211921
    3.387540523  160.324318976   42.673016440
    3.422810349  161.292766359   15.840344058
    3.458080174  161.605904680    3.743826838
    3.493350000  161.651244525    0.022813306
