#! FIELDS phi projection
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
   -3.141592654   15.156392949
   -3.018392942    9.339447973
   -2.895193230    5.200002805
   -2.771993518    2.749806287
   -2.648793806    1.745662596
   -2.525594094    1.801547419
   -2.402394382    2.495617784
   -2.279194670    3.453074265
   -2.155994958    4.372721776
   -2.032795246    5.022552001
   -1.909595535    5.178258654
   -1.786395823    4.552540218
   -1.663196111    3.038399146
   -1.539996399    1.204745922
   -1.416796687    0.000000000
   -1.293596975    0.116160768
   -1.170397263    1.808032662
   -1.047197551    4.926664950
   -0.923997839    9.087913395
   -0.800798127   13.908513446
   -0.677598415   19.051735807
   -0.554398704   24.138376066
   -0.431198992   28.745650818
   -0.307999280   32.448948486
   -0.184799568   34.886407394
   -0.061599856   35.881974947
    0.061599856   35.430019239
    0.184799568   33.592879867
    0.307999280   30.479998623
    0.431198992   26.281547299
    0.554398704   21.327792033
    0.677598415   16.132823645
    0.800798127   11.391714515
    0.923997839    7.959678892
    1.047197551    6.745331898
    1.170397263    8.404113001
    1.293596975   13.016863523
    1.416796687   19.987964076
    1.539996399   28.213004568
    1.663196111   36.427313326
    1.786395823   43.523710860
    1.909595535   48.754463192
    2.032795246   51.893996497
    2.155994958   53.273856322
    2.279194670   53.309622996
    2.402394382   52.032328321
    2.525594094   49.086374937
    2.648793806   44.201959083
    2.771993518   37.641049920
    2.895193230   30.062293717
    3.018392942   22.288571907
