#! FIELDS phi projection
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
   -3.141592654   15.580726342
   -3.018392942    9.763665218
   -2.895193230    5.623256680
   -2.771993518    3.142936046
   -2.648793806    2.075921217
   -2.525594094    2.052440541
   -2.402394382    2.673216921
   -2.279194670    3.585494854
   -2.155994958    4.501687921
   -2.032795246    5.192264354
   -1.909595535    5.405513676
   -1.786395823    4.776252556
   -1.663196111    3.166250713
   -1.539996399    1.242662166
   -1.416796687    0.000000000
   -1.293596975    0.110674228
   -1.170397263    1.816038031
   -1.047197551    4.969172546
   -0.923997839    9.181988526
   -0.800798127   14.054834501
   -0.677598415   19.240155226
   -0.554398704   24.353821085
   -0.431198992   28.958555452
   -0.307999280   32.587212728
   -0.184799568   34.862213208
   -0.061599856   35.665443938
    0.061599856   35.040515760
    0.184799568   33.052901440
    0.307999280   29.812117834
    0.431198992   25.531022190
    0.554398704   20.567007440
    0.677598415   15.428931947
    0.800798127   10.763102256
    0.923997839    7.364201643
    1.047197551    6.119039458
    1.170397263    7.716001664
    1.293596975   12.301177270
    1.416796687   19.351798199
    1.539996399   27.815219876
    1.663196111   36.434299196
    1.786395823   44.063334265
    1.909595535   49.892191836
    2.032795246   53.586046426
    2.155994958   55.321027093
    2.279194670   55.444669935
    2.402394382   53.991200090
    2.525594094   50.664400156
    2.648793806   45.359766390
    2.771993518   38.461986721
    2.895193230   30.654579253
    3.018392942   22.755534982
