#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  51
#! SET periodic_psi true
   -3.141592654   -3.141592654   15.160879426  -50.176643246   16.007064386
   -3.018392942   -3.141592654    9.788925839  -36.795187429   15.951957915
   -2.895193230   -3.141592654    6.124244029  -22.860803584   15.553530927
   -2.771993518   -3.141592654    4.088964913  -10.533934950   15.405827539
   -2.648793806   -3.141592654    3.418515424   -0.816001924   15.737997758
   -2.525594094   -3.141592654    3.774183734    6.184021571   16.512633332
   -2.402394382   -3.141592654    4.829568056   10.563986410   17.530777851
   -2.279194670   -3.141592654    6.270848122   12.488846596   18.488063827
   -2.155994958   -3.141592654    7.813106079   12.253731863   19.215910562
   -2.032795246   -3.141592654    9.229804748   10.558206423   19.592841390
   -1.909595535   -3.141592654   10.391538784    8.286076903   19.902329586
   -1.786395823   -3.141592654   11.298502993    6.627384943   20.436375503
   -1.663196111   -3.141592654   12.095242737    6.690621840   21.788947723
   -1.539996399   -3.141592654   13.058126134    9.374269057   24.286151648
   -1.416796687   -3.141592654   14.545240949   15.267092536   28.200770890
   -1.293596975   -3.141592654   16.938744242   24.044451799   32.859496097
   -1.170397263   -3.141592654   20.563594758   34.905500357   37.461831446
   -1.047197551   -3.141592654   25.536141674   45.512504073   41.117931275
   -0.923997839   -3.141592654   31.663863974   53.316985082   42.914804404
   -0.800798127   -3.141592654   38.480771151   56.453584448   42.222066561
   -0.677598415   -3.141592654   45.355201360   54.362731501   38.980784796
   -0.554398704   -3.141592654   51.696877515   47.999606762   33.648812460
   -0.431198992   -3.141592654   57.063037075   38.811157002   26.943772098
   -0.307999280   -3.141592654   61.218662566   28.523365588   19.786016406
   -0.184799568   -3.141592654   64.083983572   17.989521727   12.886120631
   -0.061599856   -3.141592654   65.661574972    7.641529005    6.615778906
    0.061599856   -3.141592654   65.946614439   -3.135529786    0.981970018
    0.184799568   -3.141592654   64.863670599  -14.623226663   -4.264883038
    0.307999280   -3.141592654   62.300869432  -27.016836545   -9.303023274
    0.431198992   -3.141592654   58.224328906  -38.900435067  -13.933608593
    0.554398704   -3.141592654   52.826639217  -47.915389655  -17.818334674
    0.677598415   -3.141592654   46.669985387  -50.736879330  -20.200377093
    0.800798127   -3.141592654   40.680045350  -44.977508523  -20.579598751
    0.923997839   -3.141592654   35.947537278  -30.575980733  -18.783330172
    1.047197551   -3.141592654   33.390828716  -10.285943658  -15.258842502
    1.170397263   -3.141592654   33.464842173   11.274600090  -10.899585014
    1.293596975   -3.141592654   36.029665820   29.450321717   -6.639598224
    1.416796687   -3.141592654   40.441922192   40.875877450   -3.215101447
    1.539996399   -3.141592654   45.776921366   44.426313984   -0.796476216
    1.663196111   -3.141592654   51.102750376   41.034885378    0.605044709
    1.786395823   -3.141592654   55.677298714   32.609658007    1.315372919
    1.909595535   -3.141592654   59.031288703   21.533139731    1.556772330
    2.032795246   -3.141592654   60.924584136    9.070216075    1.660844310
    2.155994958   -3.141592654   61.239739052   -4.132070159    1.870633094
    2.279194670   -3.141592654   59.873596063  -18.075562616    2.474061945
    2.402394382   -3.141592654   56.771834258  -32.323402157    3.756183678
    2.525594094   -3.141592654   51.932752145  -46.045746173    5.768448358
    2.648793806   -3.141592654   45.521286580  -57.473620235    8.414750967
    2.771993518   -3.141592654   37.951521186  -64.527152510   11.236709541
    2.895193230   -3.141592654   29.866649896  -65.707089330   13.713287959
    3.018392942   -3.141592654   22.027378852  -60.553858699   15.309678300

   -3.141592654   -3.018392942   17.439031408  -50.014354562   20.896631039
   -3.018392942   -3.018392942   12.047816554  -37.134177129   20.670083790
   -2.895193230   -3.018392942    8.334371087  -23.232919789   20.223761358
   -2.771993518   -3.018392942    6.284197370  -10.393151132   20.075234898
   -2.648793806   -3.018392942    5.663808962   -0.124362159   20.552255162
   -2.525594094   -3.018392942    6.127588465    7.182807124   21.506450494
   -2.402394382   -3.018392942    7.309775967   11.524604646   22.545771407
   -2.279194670   -3.018392942    8.859624218   13.221046590   23.388256805
   -2.155994958   -3.018392942   10.475517436   12.636629397   23.830098390
   -2.032795246   -3.018392942   11.922241701   10.692827725   24.012737904
   -1.909595535   -3.018392942   13.105249531    8.582470769   24.130385768
   -1.786395823   -3.018392942   14.085493571    7.584121493   24.718295811
   -1.663196111   -3.018392942   15.066023228    8.793800746   26.358817173
   -1.539996399   -3.018392942   16.369021599   12.814594875   29.302817354
   -1.416796687   -3.018392942   18.347077253   19.721919564   33.374994792
   -1.293596975   -3.018392942   21.313630670   28.753296324   37.887512037
   -1.170397263   -3.018392942   25.468482779   38.699497844   41.787188506
   -1.047197551   -3.018392942   30.801311790   47.469756794   43.989022233
   -0.923997839   -3.018392942   37.026349655   52.854848153   43.733367434
   -0.800798127   -3.018392942   43.624734974   53.425848937   40.973178173
   -0.677598415   -3.018392942   49.990367236   49.211016337   35.972775711
   -0.554398704   -3.018392942   55.599126341   41.409957126   29.540203338
