#! FIELDS puck.qx puck.qy file.free der_puck.qx der_puck.qy
#! SET min_puck.qx -0.12
#! SET max_puck.qx 0.12
#! SET nbins_puck.qx  101
#! SET periodic_puck.qx false
#! SET min_puck.qy -0.12
#! SET max_puck.qy 0.12
#! SET nbins_puck.qy  101
#! SET periodic_puck.qy false
   -0.120000000   -0.120000000  193.681447827   -0.155484759   -0.141630182
   -0.117600000   -0.120000000  193.681006997   -0.262554188   -0.246523786
   -0.115200000   -0.120000000  193.679680148   -0.822319735   -0.743923669
   -0.112800000   -0.120000000  193.676736672   -1.602850489   -1.485122351
   -0.110400000   -0.120000000  193.671722827   -2.763331435   -2.659305577
   -0.108000000   -0.120000000  193.663097212   -4.656378329   -4.637869949
   -0.105600000   -0.120000000  193.649088588   -7.252400122   -7.498991105
   -0.103200000   -0.120000000  193.627352214  -10.883049238  -11.700822948
   -0.100800000   -0.120000000  193.595370542  -15.928534041  -17.418141966
   -0.098400000   -0.120000000  193.550170338  -21.929775850  -24.718516355
   -0.096000000   -0.120000000  193.489073043  -29.258043181  -33.921427683
   -0.093600000   -0.120000000  193.408147276  -38.131945066  -45.413062341
   -0.091200000   -0.120000000  193.304183954  -48.422909283  -59.798005265
   -0.088800000   -0.120000000  193.174328727  -60.067065261  -76.650855222
   -0.086400000   -0.120000000  193.013846738  -73.854715766  -97.407677911
   -0.084000000   -0.120000000  192.817113621  -90.034224995 -123.066382154
   -0.081600000   -0.120000000  192.582500680 -105.839553032 -150.844533368
   -0.079200000   -0.120000000  192.308139407 -123.367754132 -182.865615351
   -0.076800000   -0.120000000  191.989210382 -142.652706378 -220.910640204
   -0.074400000   -0.120000000  191.623768216 -161.881210123 -262.304995304
   -0.072000000   -0.120000000  191.211807467 -181.748963125 -308.510587015
   -0.069600000   -0.120000000  190.751351498 -201.783330634 -359.461713058
   -0.067200000   -0.120000000  190.244829760 -220.355420223 -413.624125477
   -0.064800000   -0.120000000  189.694153773 -238.447689804 -472.154195647
   -0.062400000   -0.120000000  189.101480172 -255.346458551 -534.703907862
   -0.060000000   -0.120000000  188.470324923 -269.952208796 -599.423312290
   -0.057600000   -0.120000000  187.808097288 -281.674369604 -666.396811368
   -0.055200000   -0.120000000  187.120632785 -290.752299385 -735.533615934
   -0.052800000   -0.120000000  186.414720966 -296.929573592 -805.505348038
   -0.050400000   -0.120000000  185.696522314 -301.046025259 -876.197211989
   -0.048000000   -0.120000000  184.973635389 -301.010066886 -945.457165352
   -0.045600000   -0.120000000  184.254062610 -297.938241364 -1013.484212326
   -0.043200000   -0.120000000  183.546471087 -291.544020873 -1079.910241383
   -0.040800000   -0.120000000  182.857334273 -282.433541610 -1142.601799611
   -0.038400000   -0.120000000  182.193229183 -270.841039280 -1202.402030870
   -0.036000000   -0.120000000  181.559124492 -257.574956476 -1258.976025654
   -0.033600000   -0.120000000  180.958460980 -242.744984423 -1311.331588884
   -0.031200000   -0.120000000  180.394249600 -227.265103680 -1359.430105872
   -0.028800000   -0.120000000  179.868794197 -210.462418269 -1402.903910677
   -0.026400000   -0.120000000  179.384351857 -193.455145467 -1442.213506874
   -0.024000000   -0.120000000  178.940028021 -176.756112522 -1477.905822016
   -0.021600000   -0.120000000  178.536181323 -160.219793400 -1509.647232582
   -0.019200000   -0.120000000  178.171340345 -143.997281849 -1538.080623608
   -0.016800000   -0.120000000  177.845344016 -128.056399032 -1562.409546464
   -0.014400000   -0.120000000  177.557043584 -112.250101444 -1582.669993332
   -0.012000000   -0.120000000  177.306381021  -96.765804294 -1601.326009980
   -0.009600000   -0.120000000  177.091691936  -81.793614148 -1616.994936469
   -0.007200000   -0.120000000  176.913562309  -66.532018298 -1629.954127258
   -0.004800000   -0.120000000  176.771879195  -51.445475272 -1639.729799595
   -0.002400000   -0.120000000  176.667788900  -35.222820988 -1646.772294245
   -0.000000000   -0.120000000  176.602393364  -19.303853468 -1650.392013691
    0.002400000   -0.120000000  176.575610679   -3.098699037 -1652.099459287
    0.004800000   -0.120000000  176.588614867   14.112897948 -1651.606730978
    0.007200000   -0.120000000  176.642049071   30.577984448 -1645.777526683
    0.009600000   -0.120000000  176.737065350   48.765270121 -1639.453581623
    0.012000000   -0.120000000  176.875131779   66.486269576 -1629.517650320
    0.014400000   -0.120000000  177.055706606   84.110533676 -1615.332798841
    0.016800000   -0.120000000  177.279710758  102.957362973 -1598.413938144
    0.019200000   -0.120000000  177.549313504  121.898828912 -1578.691872097
    0.021600000   -0.120000000  177.865216008  141.468929643 -1554.807350584
    0.024000000   -0.120000000  178.228343910  161.568705276 -1526.295625156
    0.026400000   -0.120000000  178.640408843  181.915584003 -1493.772785610
    0.028800000   -0.120000000  179.100624928  201.783850934 -1456.576539908
    0.031200000   -0.120000000  179.608299084  221.016214508 -1415.144490875
    0.033600000   -0.120000000  180.160795001  239.439528167 -1369.339397801
    0.036000000   -0.120000000  180.756551387  256.754959169 -1319.234795279
    0.038400000   -0.120000000  181.390858304  271.921701565 -1264.272406043
    0.040800000   -0.120000000  182.059991367  284.956605779 -1204.990578442
    0.043200000   -0.120000000  182.756954861  295.572638285 -1141.985411967
    0.045600000   -0.120000000  183.477357043  304.366132424 -1076.688688463
    0.048000000   -0.120000000  184.215338604  309.781294014 -1008.397808866
    0.050400000   -0.120000000  184.962576593  312.326024571 -938.690572427
    0.052800000   -0.120000000  185.712146976  311.759505028 -867.653530127
    0.055200000   -0.120000000  186.454849555  306.723233297 -795.537828633
    0.057600000   -0.120000000  187.181932068  298.644964453 -723.988932320
    0.060000000   -0.120000000  187.886314699  287.724383207 -653.946949029
    0.062400000   -0.120000000  188.561209701  274.319347143 -585.889112165
