#! FIELDS puck.qx puck.qy file.free der_puck.qx der_puck.qy
#! SET min_puck.qx -0.169793
#! SET max_puck.qx 0.171258
#! SET nbins_puck.qx  50
#! SET periodic_puck.qx false
#! SET min_puck.qy -0.16452
#! SET max_puck.qy 0.177797
#! SET nbins_puck.qy  50
#! SET periodic_puck.qy false
   -0.169793000   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.162832776   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.155872551   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.148912327   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.141952102   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.134991878   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.128031653   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.121071429   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.114111204   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.107150980   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.100190755   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.093230531   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.086270306   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.079310082   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.072349857   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.065389633   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.058429408   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.051469184   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.044508959   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.037548735   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.030588510   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.023628286   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.016668061   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.009707837   -0.164520000  194.041986860   -0.000000000   -0.000000000
   -0.002747612   -0.164520000  194.041986860   -0.000000000   -0.000000000
    0.004212612   -0.164520000  194.041986860   -0.000000000   -0.000000000
    0.011172837   -0.164520000  194.041986860   -0.000000000   -0.000000000
    0.018133061   -0.164520000  194.041986860   -0.000000000   -0.000000000
    0.025093286   -0.164520000  194.041986860   -0.000000000   -0.000000000
    0.032053510   -0.164520000  194.041986860   -0.000000000   -0.000000000
    0.039013735   -0.164520000  194.041986860   -0.000000000   -0.000000000
    0.045973959   -0.164520000  194.041986860   -0.000000000   -0.000000000
    0.052934184   -0.164520000  194.041986860   -0.000000000   -0.000000000
